Date,Close
"Sept 11, 2008",760.3
"Sept 10, 2008",741.3
"Sept 09, 2008",757.9
"Sept 08, 2008",787.1
"Sept 07, 2008",797.5
"Sept 04, 2008",797.6
"Sept 03, 2008",797.9
"Sept 02, 2008",802.7
"Sept 01, 2008",805
"Aug 28, 2008",829.3
"Aug 27, 2008",830.9
"Aug 26, 2008",828.1
"Aug 25, 2008",822.2
"Aug 24, 2008",819.8
"Aug 21, 2008",827.4
"Aug 20, 2008",833
"Aug 19, 2008",810.3
"Aug 18, 2008",811.1
"Aug 17, 2008",799.7
"Aug 14, 2008",786
"Aug 13, 2008",808.2
"Aug 12, 2008",825
"Aug 11, 2008",808.2
"Aug 10, 2008",821.5
"Aug 07, 2008",857.8
"Aug 06, 2008",870.7
"Aug 05, 2008",875.6
"Aug 04, 2008",878.6
"Aug 03, 2008",900.1
"Jul 31, 2008",909
"Jul 30, 2008",913.9
"Jul 29, 2008",902.9
"Jul 28, 2008",916.4
"Jul 27, 2008",927.6
"Jul 24, 2008",926.6
"Jul 23, 2008",922
"Jul 22, 2008",922.4
"Jul 21, 2008",948
"Jul 20, 2008",963.1
"Jul 17, 2008",957.3
"Jul 16, 2008",970
"Jul 15, 2008",961.8
"Jul 14, 2008",977.7
"Jul 13, 2008",972.7
"Jul 10, 2008",959.5
"Jul 09, 2008",940.9
"Jul 08, 2008",927.3
"Jul 07, 2008",921.9
"Jul 06, 2008",927.3
"Jul 03, 2008",931.9
"Jul 01, 2008",944.8
"Jun 30, 2008",942.5
"Jun 29, 2008",926.2
"Jun 26, 2008",929.3
"Jun 25, 2008",913.1
"Jun 24, 2008",880
"Jun 23, 2008",889.2
"Jun 22, 2008",884.8
"Jun 19, 2008",901.3
"Jun 18, 2008",901.7
"Jun 17, 2008",890.9
"Jun 16, 2008",884.3
"Jun 15, 2008",883.6
"Jun 12, 2008",870.3
"Jun 11, 2008",869.2
"Jun 10, 2008",879.7
"Jun 09, 2008",867.9
"Jun 08, 2008",894.7
"Jun 05, 2008",895.4
"Jun 04, 2008",871.8
"Jun 03, 2008",879.9
"Jun 02, 2008",881.6
"Jun 01, 2008",892.9
"May 29, 2008",887.3
"May 28, 2008",877.2
"May 27, 2008",900.5
"May 26, 2008",907.7
"May 22, 2008",925.6
"May 21, 2008",917.9
"May 20, 2008",928
"May 19, 2008",919.5
"May 18, 2008",905
"May 15, 2008",899
"May 14, 2008",879
"May 13, 2008",865.4
"May 12, 2008",868.5
"May 11, 2008",883.7
"May 08, 2008",884.5
"May 07, 2008",880.6
"May 06, 2008",869.6
"May 05, 2008",876
"May 04, 2008",872.3
"May 01, 2008",856.1
"Apr 30, 2008",848.9
"Apr 29, 2008",862.8
"Apr 28, 2008",874.2
"Apr 27, 2008",892.9
"Apr 24, 2008",887.2
"Apr 23, 2008",886.8
"Apr 22, 2008",906.2
"Apr 21, 2008",922.3
"Apr 20, 2008",914.7
"Apr 17, 2008",912.2
"Apr 16, 2008",939.8
"Apr 15, 2008",945.1
"Apr 14, 2008",928.7
"Apr 13, 2008",925.4
"Apr 10, 2008",923.6
"Apr 09, 2008",928.3
"Apr 08, 2008",933.6
"Apr 07, 2008",914
"Apr 06, 2008",922.7
"Apr 03, 2008",909
"Apr 02, 2008",905
"Apr 01, 2008",895.2
"Mar 31, 2008",882.9
"Mar 30, 2008",916.2
"Mar 27, 2008",930.6
"Mar 26, 2008",948.8
"Mar 25, 2008",949
"Mar 24, 2008",934.6
"Mar 23, 2008",918.3
"Mar 19, 2008",919.6
"Mar 18, 2008",944.7
"Mar 17, 2008","1,003.20"
"Mar 16, 2008","1,001.40"
"Mar 13, 2008",998.2
"Mar 12, 2008",992.3
"Mar 11, 2008",978.8
"Mar 10, 2008",974.2
"Mar 09, 2008",969.9
"Mar 07, 2008",972.2
"Mar 06, 2008",975
"Mar 05, 2008",986.2
"Mar 04, 2008",963.9
"Mar 03, 2008",981.5
"Feb 29, 2008",972.1
"Feb 28, 2008",964.5
"Feb 27, 2008",958.2
"Feb 26, 2008",946.1
"Feb 25, 2008",937.6
"Feb 22, 2008",944.7
"Feb 21, 2008",946.1
"Feb 20, 2008",934.6
"Feb 19, 2008",926.6
"Feb 15, 2008",902.8
"Feb 14, 2008",907.4
"Feb 13, 2008",906.5
"Feb 12, 2008",907.4
"Feb 11, 2008",922.9
"Feb 08, 2008",918.4
"Feb 07, 2008",906.1
"Feb 06, 2008",900.7
"Feb 05, 2008",885.9
"Feb 04, 2008",904.9
"Feb 01, 2008",908.7
"Jan 31, 2008",922.7
"Jan 30, 2008",920.6
"Jan 29, 2008",925.1
"Jan 28, 2008",927.1
"Jan 25, 2008",910.5
"Jan 24, 2008",905.5
"Jan 23, 2008",882.5
"Jan 22, 2008",889.6
"Jan 18, 2008",880.8
"Jan 17, 2008",879.5
"Jan 16, 2008",880.6
"Jan 15, 2008",901
"Jan 14, 2008",901.6
"Jan 11, 2008",896.1
"Jan 10, 2008",891.7
"Jan 09, 2008",879.5
"Jan 08, 2008",878
"Jan 07, 2008",859.6
"Jan 04, 2008",863.1
"Jan 03, 2008",866.4
"Jan 02, 2008",857
"Dec 31, 2007",834.9
"Dec 28, 2007",839.6
"Dec 27, 2007",828.6
"Dec 26, 2007",826
"Dec 24, 2007",812.8
"Dec 21, 2007",811.6
"Dec 20, 2007",799.2
"Dec 19, 2007",801.1
"Dec 18, 2007",803
"Dec 17, 2007",794.8
"Dec 14, 2007",793.3
"Dec 13, 2007",799
"Dec 12, 2007",813.5
"Dec 11, 2007",811.4
"Dec 10, 2007",807.7
"Dec 07, 2007",794.4
"Dec 06, 2007",801.2
"Dec 05, 2007",797.5
"Dec 04, 2007",801.3
"Dec 03, 2007",788.3
"Nov 30, 2007",782.2
"Nov 29, 2007",795.3
"Nov 28, 2007",800.1
"Nov 27, 2007",813.7
"Nov 26, 2007",826
"Nov 23, 2007",824
"Nov 21, 2007",797.6
"Nov 20, 2007",790.3
"Nov 19, 2007",776.8
"Nov 16, 2007",785.7
"Nov 15, 2007",785.9
"Nov 14, 2007",813
"Nov 13, 2007",797.2
"Nov 12, 2007",805.8
"Nov 09, 2007",832.5
"Nov 08, 2007",835.2
"Nov 07, 2007",831
"Nov 06, 2007",820.8
"Nov 05, 2007",808.1
